"Ältere Römische Kaiserzeit","[+0000, +0000, +0200, +0200],['http://chronontology.dainst.org/period/eE6CJ4cCeKxI']"
"Ältere Römische Kaiserzeit","[+0000, +0000, +0260, +0260],['http://chronontology.dainst.org/period/gvVmfpxCNTDe']"
"Ältere Slawenzeit","[+0600, +0600, +0800, +0800],['http://chronontology.dainst.org/period/OEulnRMWblfm']"
"ältere Vorröm. Eisenzeit","[-0550, -0550, -0300, -0300],['http://chronontology.dainst.org/period/UcS4HMKupZ1k']"
"ältere Vorröm. Eisenzeit","[-0550, -0550, -0300, -0300],['http://chronontology.dainst.org/period/xJKgOtJr03G2']"
"ältere Vorröm. Eisenzeit","[-0600, -0600, -0300, -0300],['http://chronontology.dainst.org/period/INuuDZ9EvQoA']"
"Älteres Jungpaläolithikum","[-41500, -41500, -32501, -32501],['http://chronontology.dainst.org/period/Ci5gmLJ3vpLb']"
"Älteres Jungpaläolithikum","[-41500, -41500, -32501, -32501],['http://chronontology.dainst.org/period/e0leeJzwu0jl']"
"Älteres Mesolithikum","[-8000, -8000, -6800, -6800],['http://chronontology.dainst.org/period/K6TU1685mAKY']"
"Älteres Mesolithikum","[-9600, -9600, -6500, -6500],['http://chronontology.dainst.org/period/wSqsurJoddD8']"
"Älteres Mesolithikum","[-9600, -9600, -6500, -6500],['http://chronontology.dainst.org/period/zSVJAPnDsJjk']"
"älteres Neolithikum","[-4700, -4700, -3800, -3800],['http://chronontology.dainst.org/period/y483SQq6aCfo']"
"Altertum","[-3000, -3000, +0600, +0600],['http://chronontology.dainst.org/period/fO0JtNSgR9bp']"
"Altes Reich","[-2686, -2686, -2181, -2181],['http://chronontology.dainst.org/period/kn2zrUYdWAe8']"
"Altneolithikum","[-5500, -5500, -4900, -4900],['http://chronontology.dainst.org/period/a6kTW8Gu7xVT']"
"Altneolithikum","[-5500, -5500, -4900, -4900],['http://chronontology.dainst.org/period/qYT2fym32QnJ']"
"Altneolithikum","[-5600, -5600, -4900, -4900],['http://chronontology.dainst.org/period/WV9M4vkwfjc1']"
"Altneolithikum/Bandkeramik","[-5300, -5300, -4900, -4900],['http://chronontology.dainst.org/period/Com7g4WSIDKm']"
"Altneolithikum/Bandkeramik","[-5300, -5300, -4900, -4900],['http://chronontology.dainst.org/period/HJlf55V0dpUh']"
"Altneolithikum/Bandkeramik","[-5500, -5500, -4900, -4900],['http://chronontology.dainst.org/period/YGz7yqsaUeAp']"
"Altpaläolithikum","[-1000000, -1000000, -250000, -250000],['http://chronontology.dainst.org/period/I0712mrAEsTq']"
"Altpaläolithikum","[-1000000, -1000000, -250000, -250000],['http://chronontology.dainst.org/period/LBhNKDEBVJ8p']"
"Altpaläolithikum","[-1000000, -1000000, -250000, -250000],['http://chronontology.dainst.org/period/Lkpfi05b1fvB']"
"Altpaläolithikum","[-1000000, -1000000, -250000, -250000],['http://chronontology.dainst.org/period/oYeAp9S6HqdN']"
"Altpaläolithikum","[-1000000, -1000000, -250000, -250000],['http://chronontology.dainst.org/period/WCcvUWzwivdn']"
"Altpaläolithikum","[-1100000, -1100000, -250000, -250000],['http://chronontology.dainst.org/period/aDpDyWUkSDZm']"
"Altpaläolithikum","[-1200000, -1200000, -125000, -125000],['http://chronontology.dainst.org/period/QQlX2ffVon1k']"
"Altpaläolithikum","[-1500000, -1500000, -250000, -250000],['http://chronontology.dainst.org/period/sBeV1KTv0ZhJ']"
"Altpaläolithikum","[-350000, -350000, -250000, -250000],['http://chronontology.dainst.org/period/QKUB8NFo9tkh']"
"Altpaläolithikum","[-400000, -400000, -250000, -250000],['http://chronontology.dainst.org/period/phiDFwg6hCkz']"
"Altpaläolithikum","[-500000, -500000, -200000, -200000],['http://chronontology.dainst.org/period/j6xApJmgY3pd']"
"Altpaläolithikum","[-500000, -500000, -200000, -200000],['http://chronontology.dainst.org/period/QzDOyvVmNIxc']"
"Altpaläolithikum","[-500000, -500000, -250000, -250000],['http://chronontology.dainst.org/period/5m9Yi40euene']"
"Altpaläolithikum","[-500000, -500000, -250000, -250000],['http://chronontology.dainst.org/period/7dgigF2H1Igf']"
"Altpaläolithikum","[-500000, -500000, -250000, -250000],['http://chronontology.dainst.org/period/dRyTez7tpGqL']"
"Altpaläolithikum","[-500000, -500000, -250000, -250000],['http://chronontology.dainst.org/period/HshZbECy1AMU']"
"Altpaläolithikum","[-780000, -780000, -250000, -250000],['http://chronontology.dainst.org/period/c2dvmgFs2fIF']"
"Altpersisches Reich der Achämeniden","[-0550, -0550, -0330, -0330],['http://chronontology.dainst.org/period/tbrad82kilsF']"
"Altpersisches Reich","[-0550, -0550, -0330, -0330],['http://chronontology.dainst.org/period/tbrad82kilsF']"
"Altpleistozän","[-1806000, -1806000, -781000, -781000],['http://chronontology.dainst.org/period/BK4TjCxqSeAW']"
"Altproterozoikum","[-2500000000, -2500000000, +1600000000, +1600000000],['http://chronontology.dainst.org/period/8VvR0xfLVeUi']"
"äML","[-8000, -8000, -6800, -6800],['http://chronontology.dainst.org/period/K6TU1685mAKY']"
"äML","[-9600, -9600, -6500, -6500],['http://chronontology.dainst.org/period/wSqsurJoddD8']"
"äML","[-9600, -9600, -6500, -6500],['http://chronontology.dainst.org/period/zSVJAPnDsJjk']"
"ANB","[-5300, -5300, -4900, -4900],['http://chronontology.dainst.org/period/Com7g4WSIDKm']"
"ANB","[-5300, -5300, -4900, -4900],['http://chronontology.dainst.org/period/HJlf55V0dpUh']"
"ANB","[-5500, -5500, -4900, -4900],['http://chronontology.dainst.org/period/YGz7yqsaUeAp']"
"Anis","[-247100000, -247100000, -241500000, -241500000],['http://chronontology.dainst.org/period/9Xq2aqCN9lwB']"
"Anisium","[-247100000, -247100000, -241500000, -241500000],['http://chronontology.dainst.org/period/9Xq2aqCN9lwB']"
"äNL","[-4700, -4700, -3800, -3800],['http://chronontology.dainst.org/period/y483SQq6aCfo']"
"ANL","[-5500, -5500, -4900, -4900],['http://chronontology.dainst.org/period/a6kTW8Gu7xVT']"
"ANL","[-5500, -5500, -4900, -4900],['http://chronontology.dainst.org/period/qYT2fym32QnJ']"
"ANL","[-5600, -5600, -4900, -4900],['http://chronontology.dainst.org/period/WV9M4vkwfjc1']"
"Antike","[-1000, -1000, +0700, +0700],['http://chronontology.dainst.org/period/hWUrQyuQyusx']"
"Antoninendynastie","[+0138, +0138, +0192, +0192],['http://chronontology.dainst.org/period/dZ3ERUpZtmDy']"
"Antoninisch","[+0138, +0138, +0192, +0192],['http://chronontology.dainst.org/period/dZ3ERUpZtmDy']"
"Antoninisch","[+0138, +0138, +0192, +0192],['http://chronontology.dainst.org/period/Jv588PCB6vhi']"
"Antoninische Zeit","[+0138, +0138, +0192, +0192],['http://chronontology.dainst.org/period/dZ3ERUpZtmDy']"
"APL","[-1000000, -1000000, -250000, -250000],['http://chronontology.dainst.org/period/I0712mrAEsTq']"
"APL","[-1000000, -1000000, -250000, -250000],['http://chronontology.dainst.org/period/LBhNKDEBVJ8p']"
"APL","[-1000000, -1000000, -250000, -250000],['http://chronontology.dainst.org/period/Lkpfi05b1fvB']"
"APL","[-1000000, -1000000, -250000, -250000],['http://chronontology.dainst.org/period/oYeAp9S6HqdN']"
"APL","[-1000000, -1000000, -250000, -250000],['http://chronontology.dainst.org/period/WCcvUWzwivdn']"
"APL","[-1100000, -1100000, -250000, -250000],['http://chronontology.dainst.org/period/aDpDyWUkSDZm']"
"APL","[-1200000, -1200000, -125000, -125000],['http://chronontology.dainst.org/period/QQlX2ffVon1k']"
"APL","[-1500000, -1500000, -250000, -250000],['http://chronontology.dainst.org/period/sBeV1KTv0ZhJ']"
"APL","[-350000, -350000, -250000, -250000],['http://chronontology.dainst.org/period/QKUB8NFo9tkh']"
"APL","[-400000, -400000, -250000, -250000],['http://chronontology.dainst.org/period/phiDFwg6hCkz']"
"APL","[-500000, -500000, -200000, -200000],['http://chronontology.dainst.org/period/j6xApJmgY3pd']"
"APL","[-500000, -500000, -200000, -200000],['http://chronontology.dainst.org/period/QzDOyvVmNIxc']"
"APL","[-500000, -500000, -250000, -250000],['http://chronontology.dainst.org/period/5m9Yi40euene']"
"APL","[-500000, -500000, -250000, -250000],['http://chronontology.dainst.org/period/7dgigF2H1Igf']"
"APL","[-500000, -500000, -250000, -250000],['http://chronontology.dainst.org/period/dRyTez7tpGqL']"
"APL","[-500000, -500000, -250000, -250000],['http://chronontology.dainst.org/period/HshZbECy1AMU']"
"APL","[-780000, -780000, -250000, -250000],['http://chronontology.dainst.org/period/c2dvmgFs2fIF']"
"Apt","[-126300000, -126300000, -113000000, -113000000],['http://chronontology.dainst.org/period/dms5sxuZZvw7']"
"Aptien","[-126300000, -126300000, -113000000, -113000000],['http://chronontology.dainst.org/period/dms5sxuZZvw7']"
"Aptium","[-126300000, -126300000, -113000000, -113000000],['http://chronontology.dainst.org/period/dms5sxuZZvw7']"
"Aquitan-Stufe","[-23030000, -23030000, -20440000, -20440000],['http://chronontology.dainst.org/period/o0KnZcAFFMyP']"
"Aquitan","[-23030000, -23030000, -20440000, -20440000],['http://chronontology.dainst.org/period/o0KnZcAFFMyP']"
"Aquitanium","[-23030000, -23030000, -20440000, -20440000],['http://chronontology.dainst.org/period/o0KnZcAFFMyP']"
"Archaik","[-0750, -0750, -0500, -0500],['http://chronontology.dainst.org/period/EfFq8qCFODK8']"
"Archaikum","[-4000000000, -4000000000, -2500000000, -2500000000],['http://chronontology.dainst.org/period/T5uQh1cMbjeJ']"
"Archäikum","[-4000000000, -4000000000, -2500000000, -2500000000],['http://chronontology.dainst.org/period/T5uQh1cMbjeJ']"
"Archaisch","[-0700, -0700, -0490, -0480],['http://chronontology.dainst.org/period/LBnJ3GkRUjSy']"
"Archaisch","[-0750, -0750, -0500, -0500],['http://chronontology.dainst.org/period/EfFq8qCFODK8']"
"archaische Griechenland","[-0750, -0750, -0500, -0500],['http://chronontology.dainst.org/period/EfFq8qCFODK8']"
"äRK","[-0027, -0027, +0180, +0180],['http://chronontology.dainst.org/period/nUmdKn8DDoJt']"
"äRK","[+0000, +0000, +0100, +0100],['http://chronontology.dainst.org/period/tXvm0RF5EjbT']"
