"American occupation, 1916-1924","[+1916, +1916, +1924, +1924]"
"American Scene","[+1920, +1920, +1949, +1949]"
"American","[+1821, +1821, +1950, +1950]"
"Ami School","[+1400, +1400, +1499, +1499]"
"amirate of Granada","[+1237, +1237, +1492, +1492]"
"Amorite (culture or style)","[-3000, -3000, -1000, -1000]"
"Amratian","[-4000, -4000, -3200, -3200]"
"Amstel (ceramics style)","[+1784, +1784, +1820, +1820]"
"An Lushan Rebellion, 755-763","[+0755, +0755, +0763, +0763]"
"An'ei Era","[+1772, +1772, +1781, +1781]"
"Anastasius I, 491-518","[+0491, +0491, +0518, +0518]"
"Ancestral Puebloan","[+0000, +0000, +1300, +1300]"
"Ancient Chinese, 600-1200","[+0600, +0600, +1200, +1200]"
"Ancient Historic-Medieval","[-0749, -0749, +1570, +1570]"
"Ancient Historic","[-0749, -0749, +0749, +0749]"
"Ancient History, Period I","[-4003, -4003, -1920, -1920]"
"Ancient History, Period II","[-1920, -1920, -1490, -1490]"
"Ancient History, Period III","[-1490, -1490, -0979, -0979]"
"Ancient History, Period IV","[-0979, -0979, -0751, -0751]"
"Ancient History, Period V","[-0751, -0751, -0322, -0322]"
"Ancient History, Period VI","[-0322, -0322, +0001, +0001]"
"Ancient history","[-3000, -3000, +0600, +0600]"
"Ancient Rus`","[+0880, +0880, +1250, +1250]"
"Ancient Style","[-0699, -0699, -0449, -0449]"
"Ancient-Medieval","[-3499, -3499, +1570, +1570]"
"Ancient","[-8999, -8999, +0749, +0749]"
"Andronicus II Palaeologus, 1282-1328","[+1282, +1282, +1328, +1328]"
"Andronicus III Palaeologus, 1328-1341","[+1328, +1328, +1341, +1341]"
"Andronovo","[-2000, -2000, -0001, -0001]"
"Anfal Campaign, 1986-1989","[+1986, +1986, +1989, +1989]"
"Anfal Tragedy, 1986-1989","[+1986, +1986, +1989, +1989]"
"Angel","[+1000, +1000, +1700, +1700]"
"Angeli, 1185-1204","[+1185, +1185, +1204, +1204]"
"Angevin period, 1154-1216","[+1154, +1154, +1216, +1216]"
"Angkor Thom","[+0975, +0975, +1050, +1050]"
"Angkor Vat","[+1100, +1100, +1199, +1199]"
"Angkorean","[+0802, +0802, +1432, +1432]"
"Anglo Dutch War, 1652-1654","[+1652, +1652, +1654, +1654]"
"Anglo Dutch War, 1664-1667","[+1664, +1664, +1667, +1667]"
"Anglo Dutch War, 1780-1784","[+1780, +1780, +1784, +1784]"
"Anglo-American Invasion of Iraq, 2003-2011","[+2003, +2003, +2011, +2011]"
"Anglo-Boer War, 1899-1902","[+1899, +1899, +1902, +1902]"
"Anglo-Burmese War, 1st, 1824-1826","[+1824, +1824, +1826, +1826]"
"Anglo-Dutch War, 1652-1654","[+1652, +1652, +1654, +1654]"
"Anglo-Dutch War, 1664-1667","[+1664, +1664, +1667, +1667]"
"Anglo-Dutch War, 1780-1784","[+1780, +1780, +1784, +1784]"
"Anglo-Egyptian Sudan","[+1899, +1899, +1955, +1955]"
"Anglo-French War, 1793-1802","[+1793, +1793, +1802, +1802]"
"Anglo-Japanese","[+1827, +1827, +1881, +1881]"
"Anglo-Saxon (East Britain)","[+0500, +0500, +0800, +0800]"
"Anglo-Saxon period, 449-1066","[+0449, +0449, +1066, +1066]"
"Anglo-Saxon","[+0500, +0500, +0800, +0800]"
"Anglo-Scandinavian","[+0954, +0954, +1068, +1068]"
"Anglo-Venetian","[+1500, +1500, +1699, +1699]"
"Anglo-Viking","[+0875, +0875, +0954, +0954]"
"Animal Style (Persian style)","[+0500, +0500, +0800, +0800]"
"Animalier","[+1825, +1825, +1875, +1875]"
"Anisian","[-247100000, -247100000, -241500000, -241500000]"
"Anjou dynasty, 1268-1442","[+1268, +1268, +1442, +1442]"
"Anna, 1730-1740","[+1730, +1730, +1740, +1740]"
"Annals period, 722-481 B.C.","[-0721, -0721, -0480, -0480]"
"Anne, 1702-1714","[+1702, +1702, +1714, +1714]"
"Anschluss movement, 1918-1938","[+1918, +1918, +1938, +1938]"
"Ansei Era","[+1854, +1854, +1860, +1860]"
"Ansei Purge, 1858-1860","[+1858, +1858, +1860, +1860]"
"Antebellum (1821-1861)","[+1821, +1821, +1861, +1861]"
"Antebellum Period (1830 - 1860)","[+1830, +1830, +1860, +1860]"
"Antebellum Period","[+1830, +1830, +1860, +1860]"
"Antebellum","[+1821, +1821, +1861, +1861]"
"antebellum","[+1861, +1861, +1865, +1865]"
"Antediluvian","[-4003, -4003, -2347, -2347]"
"Anterior Le dynasty","[+0980, +0980, +1009, +1009]"
